ETPL_Inst_Code|ETPL_CIP_Code|ETPL_Credential|ETPL_CIP_USHE|ETPL_Program_USHE|ETPL_IPEDS|ETPL_Deg_Intent|ETPL_Year|ETPL_Key|Created_Date|Modified_Date|Inactive
3671|110701|BS|BS|Computer Science|5|5|2023|36712023110701BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|131202|BS|BS|Elementary Education, BS|5|5|2023|36712023131202BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|131210|AS|AA/AS|Early Childhood Education, AA/AS|3|3|2023|36712023131210ASAA/AS33|2023-08-08 08:23:43.343|NULL|N
3671|131210|AS|AAS|Early Childhood Education, AAS|3|3|2023|36712023131210ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|131311|BS|BS|Mathematics Education, BA/BS|5|5|2023|36712023131311BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|131312|BS|BS|Music Education with Secondary Education Licensure|5|5|2023|36712023131312BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|131317|BS|BS|History and Social Science Teaching Emphasis, BA/BS|5|5|2023|36712023131317BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|131322|BS|BS|Biology - Biology Education Emphasis|5|5|2023|36712023131322BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|131399|BS|BS|Physical Science Composite Teaching- Secondary Education Licensure|5|5|2023|36712023131399BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|160905|BS|BA|Spanish|5|5|2023|36712023160905BSBA55|2023-08-08 08:23:43.343|NULL|N
3671|230101|CT|CERT|Professional Writing|NU|0|2023|36712023230101CTCERTNU0|2023-08-08 08:23:43.343|NULL|N
3671|230101|CT|CERT|Professional Writing|1A|1A|2023|36712023230101CTCERT1A1A|2023-08-08 08:23:43.343|NULL|N
3671|230101|CT|CERT|Professional Writing|1B|1B|2023|36712023230101CTCERT1B1B|2023-08-08 08:23:43.343|NULL|N
3671|230101|CT|CERT|Professional Writing|2|2|2023|36712023230101CTCERT22|2023-08-08 08:23:43.343|NULL|N
3671|230101|BS|BS|English (All Emphases)|5|5|2023|36712023230101BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|260210|BS|BS|Biochemistry and Molecular Biology|5|5|2023|36712023260210BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|261103|BS|BS|Bioinformatics|5|5|2023|36712023261103BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|270101|BS|BS|Mathematics, all emphases  [BA/BS]|5|5|2023|36712023270101BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|304101|AS|AS|Earth and Environmental Sciences|3|3|2023|36712023304101ASAS33|2023-08-08 08:23:43.343|NULL|N
3671|304101|BS|BS|Earth, Energy and Environmental Science (all emphases)|5|5|2023|36712023304101BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|310301|BS|BS|Recreation and Sports Management- All Emphases|5|5|2023|36712023310301BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|310505|BS|BS|Exercise Science (All emphases)|5|5|2023|36712023310505BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|400501|BS|BS|Chemistry|5|5|2023|36712023400501BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|420101|BS|BA/BS|Psychology|5|5|2023|36712023420101BSBA/BS55|2023-08-08 08:23:43.343|NULL|N
3671|430103|BS|BS|Criminal Justice- All emphases|5|5|2023|36712023430103BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|430104|AS|AS|Criminal Justice, AS|3|3|2023|36712023430104ASAS33|2023-08-08 08:23:43.343|NULL|N
3671|430104|BS|BA/BS|Criminal Justice/Safety Studies|5|5|2023|36712023430104BSBA/BS55|2023-08-08 08:23:43.343|NULL|N
3671|450501|BS|BS|Population Health- All emphases|5|5|2023|36712023450501BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|451101|BS|BS|Sociology, Applied [BA/BS]|5|5|2023|36712023451101BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|470000|AS|AAS|General Technology- All Emphases, AAS|3|3|2023|36712023470000ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|500301|BS|BS|Dance, BA/BS|5|5|2023|36712023500301BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|500401|BS|BS|Design, All emphases|5|5|2023|36712023500401BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|500699|BS|BS|Digital Film|5|5|2023|36712023500699BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|500701|BS|BA/BS|Art (all emphases)|5|5|2023|36712023500701BSBA/BS55|2023-08-08 08:23:43.343|NULL|N
3671|500702|BS|BFA|Art, Studio Art, BFA|5|5|2023|36712023500702BSBFA55|2023-08-08 08:23:43.343|NULL|N
3671|500901|BS|BS|Music|5|5|2023|36712023500901BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|500903|BS|BM|Music Performance|5|5|2023|36712023500903BSBM55|2023-08-08 08:23:43.343|NULL|N
3671|510602|AS|AAS|Dental Hygiene|3|3|2023|36712023510602ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|510602|BS|BS|Dental Hygiene|5|5|2023|36712023510602BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|510806|AS|AAS|Physical Therapist Assistant|3|3|2023|36712023510806ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|510810|CT|CER|Emergency Medical Technician (EMT)|1B|1B|2023|36712023510810CTCER1B1B|2023-08-08 08:23:43.343|NULL|N
3671|510904|CT|CER0|Advanced Emergency Medical Technician|2|2|2023|36712023510904CTCER022|2023-08-08 08:23:43.343|NULL|N
3671|510904|CT|CER1|Paramedic|2|2|2023|36712023510904CTCER122|2023-08-08 08:23:43.343|NULL|N
3671|510904|AS|AAS|Emergency Medical Services (EMT), AAS|3|3|2023|36712023510904ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|510909|CT|CER1|Surgical Technician|NU|0|2023|36712023510909CTCER1NU0|2023-08-08 08:23:43.343|NULL|N
3671|510909|CT|CER1|Surgical Technician|1A|1A|2023|36712023510909CTCER11A1A|2023-08-08 08:23:43.343|NULL|N
3671|510909|CT|CER1|Surgical Technician|1B|1B|2023|36712023510909CTCER11B1B|2023-08-08 08:23:43.343|NULL|N
3671|510909|CT|CER1|Surgical Technician|2|2|2023|36712023510909CTCER122|2023-08-08 08:23:43.343|NULL|N
3671|510909|AS|AAS|Surgical Technology AAS|3|3|2023|36712023510909ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|510911|AS|AAS|Medical Radiography|3|3|2023|36712023510911ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|511005|AS|AAS|Medical Laboratory Science|3|3|2023|36712023511005ASAAS33|2023-08-08 08:23:43.343|NULL|N
3671|511005|BS|BS|Medical Laboratory Science|5|5|2023|36712023511005BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|513801|AS|AAS-ADN|Nursing, AAS|3|3|2023|36712023513801ASAAS-ADN33|2023-08-08 08:23:43.343|NULL|N
3671|513801|BS|BSN|Nursing Pre-Licensure|5|5|2023|36712023513801BSBSN55|2023-08-08 08:23:43.343|NULL|N
3671|520201|CT|CERT|Retail Management|NU|0|2023|36712023520201CTCERTNU0|2023-08-08 08:23:43.343|NULL|N
3671|520201|CT|CERT|Retail Management|1A|1A|2023|36712023520201CTCERT1A1A|2023-08-08 08:23:43.343|NULL|N
3671|520201|CT|CERT|Retail Management|1B|1B|2023|36712023520201CTCERT1B1B|2023-08-08 08:23:43.343|NULL|N
3671|520201|CT|CERT|Retail Management|2|2|2023|36712023520201CTCERT22|2023-08-08 08:23:43.343|NULL|N
3671|520201|AS|AS|Management, AS|3|3|2023|36712023520201ASAS33|2023-08-08 08:23:43.343|NULL|N
3671|520201|BS|BS|Management, BS|5|5|2023|36712023520201BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|520301|BS|BS|Accounting|5|5|2023|36712023520301BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|520801|BS|BS|Finance|5|5|2023|36712023520801BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|521201|BS|BS|Information Systems and Analytics|5|5|2023|36712023521201BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|521401|CT|NULL|eMarketing|1B|1B|2023|36712023521401CT1B1B|2023-08-08 08:23:43.343|NULL|N
3671|521401|BS|BS|Marketing (BA/BS)|5|5|2023|36712023521401BSBS55|2023-08-08 08:23:43.343|NULL|N
3671|540101|BS|BS|History, BA/BS|5|5|2023|36712023540101BSBS55|2023-08-08 08:23:43.343|NULL|N
3677|010999|BS|ADVS|Animal, Dairy and Veterinary Sciences|5|5|2022|36772022010999BSADVS55|2022-09-06 11:06:18.713|NULL|N
3677|030601|BS|NULL|Wildlife Ecology and Management|5|5|2022|36772022030601BS55|2022-09-06 11:06:18.713|NULL|N
3677|050102|BS|NULL|American Studies|5|5|2022|36772022050102BS55|2022-09-06 11:06:18.713|NULL|N
3677|050103|BS|NULL|Asian Studies|5|5|2022|36772022050103BS55|2022-09-06 11:06:18.713|NULL|N
3677|050199|BS|NULL|International Studies|5|5|2022|36772022050199BS55|2022-09-06 11:06:18.713|NULL|N
3677|090100|BS|NULL|Communication Studies- BA, BS|5|5|2022|36772022090100BS55|2022-09-06 11:06:18.713|NULL|N
3677|090401|BS|NULL|Journalism: BA, BS all emphases|5|5|2022|36772022090401BS55|2022-09-06 11:06:18.713|NULL|N
3677|090907|BS|NULL|Global Communication|5|5|2022|36772022090907BS55|2022-09-06 11:06:18.713|NULL|N
