CIPCode2000|CIPTitle2000|Action|Text change|CIPCode2010|CIPTitle2010
NULL|NULL|New|no|310601|Outdoor Education
NULL|NULL|New|no|280399|Army ROTC, Military Science and Operations, Other
NULL|NULL|New|no|310507|Physical Fitness Technician
NULL|NULL|New|no|310508|Sports Studies
NULL|NULL|New|no|3800|Philosophy and Religious Studies, General
NULL|NULL|New|no|380001|Philosophy and Religious Studies, General
NULL|NULL|New|no|380104|Applied and Professional Ethics
NULL|NULL|New|no|390703|Urban Ministry
NULL|NULL|New|no|390704|Women's Ministry
NULL|NULL|New|no|390705|Lay Ministry
NULL|NULL|New|no|400509|Environmental Chemistry
NULL|NULL|New|no|400510|Forensic Chemistry
NULL|NULL|New|no|400511|Theoretical Chemistry
NULL|NULL|New|no|410303|Chemical Process Technology
NULL|NULL|New|no|4227|Research and Experimental Psychology
NULL|NULL|New|no|422799|Research and Experimental Psychology, Other
NULL|NULL|New|no|4228|Clinical, Counseling and Applied Psychology
NULL|NULL|New|no|422813|Applied Psychology
NULL|NULL|New|no|422814|Applied Behavior Analysis
NULL|NULL|New|no|422899|Clinical, Counseling and Applied Psychology, Other
NULL|NULL|New|no|4100|Science Technologies/Technicians, General
NULL|NULL|New|no|410000|Science Technologies/Technicians, General
NULL|NULL|New|no|430114|Law Enforcement Investigation and Interviewing
NULL|NULL|New|no|430115|Law Enforcement Record-Keeping and Evidence Management
NULL|NULL|New|no|430116|Cyber/Computer Forensics and Counterterrorism
NULL|NULL|New|no|430117|Financial Forensics and Fraud Investigation
NULL|NULL|New|no|430118|Law Enforcement Intelligence Analysis
NULL|NULL|New|no|430119|Critical Incident Response/Special Police Operations
NULL|NULL|New|no|430120|Protective Services Operations
NULL|NULL|New|no|430121|Suspension and Debarment Investigation
NULL|NULL|New|no|430122|Maritime Law Enforcement
NULL|NULL|New|no|430123|Cultural/Archaelogical Resources Protection
NULL|NULL|New|no|4303|Homeland Security
NULL|NULL|New|no|430301|Homeland Security
NULL|NULL|New|no|430302|Crisis/Emergency/Disaster Management
NULL|NULL|New|no|430303|Critical Infrastructure Protection
NULL|NULL|New|no|430304|Terrorism and Counterterrorism Operations
NULL|NULL|New|no|430399|Homeland Security, Other
NULL|NULL|New|no|401002|Materials Chemistry
NULL|NULL|New|no|401099|Materials Sciences, Other
NULL|NULL|New|no|430204|Fire Systems Technology
NULL|NULL|New|no|430205|Fire/Arson Investigation and Prevention
NULL|NULL|New|no|430206|Wildland/Forest Firefighting and Investigation
NULL|NULL|New|no|440502|Education Policy Analysis
NULL|NULL|New|no|440503|Health Policy Analysis
NULL|NULL|New|no|440504|International Policy Analysis
NULL|NULL|New|no|440599|Public Policy Analysis, Other
NULL|NULL|New|no|450203|Medical Anthropology
NULL|NULL|New|no|450204|Cultural Anthropology
NULL|NULL|New|no|4513|Sociology and Anthropology
NULL|NULL|New|no|451301|Sociology and Anthropology
NULL|NULL|New|no|4514|Rural Sociology
NULL|NULL|New|no|451401|Rural Sociology
NULL|NULL|New|no|460413|Carpet, Floor, and Tile Worker
NULL|NULL|New|no|460414|Insulator
NULL|NULL|New|no|460415|Building Construction Technology
NULL|NULL|New|no|450102|Research Methodology and Quantitative Methods
