Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
c42b|4c42b|2021-08-06 00:00:00.000|NULL|Explanation|NULL|N
c42c|4c42c|2021-08-06 00:00:00.000|NULL|Explanation|NULL|N
c43a|4c43a|2021-08-06 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
c43b|4c43b|2021-08-05 00:00:00.000|NULL|Removed|NULL|Y
c43c|4c43c|2021-08-06 00:00:00.000|NULL|Explanation|NULL|N
c43d|4c43d|2021-08-06 00:00:00.000|2021-10-04 16:35:43.530|Removed|Glossary needs consistance|N
c44|4c44|1900-01-01 00:00:00.000|2021-05-10 10:58:18.417|Fatal|NULL|N
c44a|4c44a|2021-05-10 10:58:33.047|NULL|Fatal|NULL|N
c45|4c45|2018-12-12 00:00:00.000|NULL|Fatal|NULL|N
c45a|4c45a|2021-08-06 00:00:00.000|NULL|Explanation|NULL|N
c46|4c46|2018-12-12 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
c46a|4c46a|2021-08-06 00:00:00.000|NULL|Explanation|NULL|N
c46b|4c46b|2021-08-06 00:00:00.000|NULL|Removed|NULL|Y
c47a|4c47a|1900-01-01 00:00:00.000|2020-09-25 00:00:00.000|Count|NULL|N
c47b|4c47b|1900-01-01 00:00:00.000|2018-12-12 00:00:00.000|Fatal|NULL|N
c48a|4c48a|2021-08-06 00:00:00.000|NULL|Explanation|NULL|N
c49a|4c49a|1900-01-01 00:00:00.000|2023-09-26 14:26:21.667|Fatal|Will affect space utilization|N
c49b|4c49b|2021-09-21 00:00:00.000|NULL|Fatal|NULL|N
c49c|4c49c|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
c50|4c50|1900-01-01 00:00:00.000|2023-09-26 14:26:21.667|Count|NULL|N
c51a|4c51a|2015-07-16 00:00:00.000|2015-10-15 00:00:00.000|Fatal|NULL|N
c51b|4c51b|2015-07-16 00:00:00.000|2019-01-24 00:00:00.000|Explanation|NULL|N
c51c|4c51c|2015-07-16 00:00:00.000|2015-10-15 00:00:00.000|Count|NULL|N
c52a|4c52a|2021-01-19 09:29:43.150|2023-09-26 14:26:21.667|Fatal|NULL|N
c52b|4c52b|2021-01-20 18:07:55.197|NULL|Fatal|NULL|N
c52c|4c52c|2021-01-20 18:15:30.033|2023-09-26 14:26:21.667|Fatal|NULL|N
c53|4c53|2022-08-17 11:53:05.270|NULL|Fatal|NULL|N
c53a|4c53a|2022-08-17 11:53:05.270|NULL|Fatal|NULL|N
c54|4c54|2022-08-17 11:53:05.270|NULL|Fatal|NULL|N
c54a|4c54a|2022-08-17 11:53:05.270|NULL|Fatal|NULL|N
s00a|2s00a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s00b|2s00b|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s01a|2s01a|1900-01-01 00:00:00.000|2020-09-02 00:00:00.000|Fatal|NULL|N
s02a|2s02a|1900-01-01 00:00:00.000|2015-10-21 00:00:00.000|Fatal|NULL|N
s03a|2s03a|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
s03b|2s03b|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
s03c|2s03c|1900-01-01 00:00:00.000|NULL|Check|Threshold |N
s04a|2s04a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s04b|2s04b|2015-09-22 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
s04c|2s04c|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s04d|2s04d|2015-07-27 00:00:00.000|NULL|Fatal|NULL|N
s05a|2s05a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s06a|2s06a|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
