CIP_CODE|CIP_COURSE|CIP_SHORT|SHORT_COURSE|PERKINS|CIP1999|PERKINS_PROGRAM|PERKINS_SECTION|NON_TRAD|UCAT_APPROVED|CIPTitle_2010
521904|Apparel and Accessories Marketing Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|080101|NULL|NULL|NULL|NULL|Apparel and Accessories Marketing Operations.
521905|Tourism and travel Services Marketing Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|081105|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|HOSPITALITY AND TOURISM|NULL|NULL|Tourism and Travel Services Marketing Operations.
521906|Tourism Promotion Oper|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|081104|NULL|NULL|NULL|NULL|Tourism Promotion Operations.
521907|Vehicle and Parts and Access Marketing Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|081203|NULL|NULL|NULL|NULL|Vehicle and Vehicle Parts and Accessories Marketing Operations.
521908|Bus and Per/Financial Serv Marketing Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|Y|080204|BUSINESS MANAGEMENT AND ADMINISTRATIVE SERVICES|INFORMATION TECHNOLOGY SERVICES|NULL|Y|Business and Personal/Financial Services Marketing Operations.
521909|Special Products Marketing Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|080503|NULL|NULL|NULL|NULL|Special Products Marketing Operations.
521910|Hospitality and recreation Marketing Operations|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|080901|NULL|NULL|NULL|NULL|Hospitality and Recreation Marketing Operations.
521999|Specialized Merchandising, Sales, and Marketing|52||NULL|NEW|NULL|NULL|NULL|NULL|Specialized Merchandising, Sales, and Marketing Operations, Other.
522000|Construction Management|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|NEW|NULL|NULL|NULL|NULL|NULL
522001|Construction Management|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|NEW|NULL|NULL|NULL|NULL|Construction Management.
529900|Business, Mgmt, Marketing/Related Supp Serv|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|529900|NULL|NULL|NULL|NULL|NULL
529999|Bus, Mngmt, Mrkting, and Related Supp Serv, Other|52|BUSINESS, MGMT, MARKETING RELATED SUPPORT SERV|NULL|529999|NULL|NULL|NULL|NULL|Business, Management, Marketing, and Related Support Services, Other.
530100|High School/Secondary Diploma Programs|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530100|NULL|NULL|NULL|NULL|NULL
530101|Reg/Gen High School/Secondary Diploma Program|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530101|NULL|NULL|NULL|NULL|Regular/General High School/Secondary Diploma Program.
